Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Religion-Faith	This method uses birds to predict the future. The divinator scatters grains and then he carefully observes the way the birds peck at the grain.	Austromancy	Captopromancy	Botanomancy	Alectryomancy	Alectryomancy
Religion-Faith	In ancient times people thought that illnesses were caused by demons, possessing the soul of a person. So they cured those illnesses with exorcism. Exorcism is derived from the Greek word  exorkizein. What does this word mean?	To kill the soul	To kill the ghost	To expel the demon	To bind by oath	To bind by oath
Religion-Faith	Ancient Babylonian priests were one of the first exorcists. They meant to destroy the evil spirit, possessing the victim, by performing this ritual.	They killed the possessed person by stabbing them with a sacrificial knife.	They destroyed a wax or clay image of a demon.	They drew mighty symbols on the forehead of the victim.	They drilled a hole in the skull of the possessed.	They destroyed a wax or clay image of a demon.
Religion-Faith	Exorcism is not popular among religions nowadays.	False	True			False
Religion-Faith	Jesus Christ is considered to be an exorcist. One of the legends tells of Jesus casting out multiple demons from a madman. The spirits then entered the bodies of some animals. What kind of animals were they?	Vultures	Pigs	Crows	Cows	Pigs
Religion-Faith	Jesus Christ gave the power to exorcise demons to his disciples.	True	False			True
Religion-Faith	In Judaism the evil spirit that possesses the soul of its victim is called dybbuk. It is exorcised through this part of the body.	Mouth	Chest	Small toe	Left Arm	Small toe
Religion-Faith	The exorcist must feel as free of sin as possible. Why?	So the exorcist does not die	So the exorcist can easily absorb the demons	So demons cannot easily possess the exorcist	So the possessed victim does not die	So demons cannot easily possess the exorcist
Religion-Faith	Exorcism is related to ASC. What does ASC stand for?	Affecting Spirit of Cataclysm	Affected Soul by Craziness	Affected Soul by Cabala	Altered State Of Consciousness	Altered State Of Consciousness
Religion-Faith	During Christian exorcism, the victim is to hold a crucifix and the exorcist is encouraged to use holy water and relics. These  two other objects should also be present.	Skull and Bones	Salt and Wine	Feather and Ink-pot	Sword and Shield	Salt and Wine
Religion-Faith	Although all exorcisms proceed differently, some stages are common. There are five common stages - The Presence, Break-point, The Voice, The Clash and this.	Expatriation	Expulsion	Deportation	Redemption	Expulsion
Religion-Faith	Adam was the first human made by God according to the Bible texts.	True	False			True
Religion-Faith	The Ten Commandments can be found in the book of Exodus, New Testament.	True	False			False
Religion-Faith	According to the Bible, Gods laws were given to Moses on Mount Rushmore.	True	False			False
Religion-Faith	Moses talked to God on the mountain and received the Ten Commandments in 40 days.	False	True			True
Religion-Faith	Moses broke the tablets on which the Ten Commandments were written when he slipped on the rocky mountainside.	True	False			False
Religion-Faith	According to the Bible texts, Jesus earthly father Joseph was sheep herder.	False	True			False
Religion-Faith	In the Bible texts, “Am I my brother’s keeper?” was a question asked by Cain to God.	True	False			True
Religion-Faith	This line from the Bible is from an address by God to Noah: “And the bow shall be in the cloud and I will look upon it that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.”	False	True			True
Religion-Faith	According to the Bible, Judas Iscariot was paid 30 pieces of gold to betray Jesus.	True	False			False
Religion-Faith	In Genesis, we can read that Joseph was sold into slavery by his brothers.	False	True			True
Religion-Faith	The magic wand is a must have accessory of every witch, if she wants to work wonders. What is the wand is made of?	Glass	Metal	Chestnut	Hazel	Hazel
Religion-Faith	Every new witch receives a special craft name, which they only disclose to coven members and keep a secret from everyone else.  Why?	It would bring ill fate upon the person	It would take away the magical powers of the coven	It would kill the person who knows the secret name	Knowing the craft name gives magical powers	Knowing the craft name gives magical powers
Religion-Faith	Incense is often used in witchcraft.  What is the meaning of jasmine scented incense?	To ease hurt caused by love	Luck in love	True love	Intense desire	Luck in love
Religion-Faith	This is one of the most widely used religious symbols. It is generally used for protection. Even though it is often associated with witchcraft, it was also used in Christianity, symbolizing the five wounds of Christ.	Hazel	Sword	Pentagram	Chalice	Pentagram
Religion-Faith	This is when the spell casting powers are at their fullest.  It is the hour of midnight on a full moon.	The Midnight Hour	The Power Hour	The Witching Hour	The Moon Hour	The Witching Hour
Religion-Faith	It is  the magical power of this herb: In the event of some kind of troublesome misfortune, gather the root with care during the descent of the lions cub and hang it around your neck.  It will drive away cares and cause a merry heart. - Syrenius (1540 - 1611).	Wormwood	Barberry	Betony	Angelica	Angelica
Religion-Faith	An ancient tradition was to distinguish witches by their color. There were white, red, green, etc. witches. The tradition doesnt exist any more but the meaning of the colors is still applied in various practices. What is the color for these magical uses: divination, spirituality, protection, psychic powers, healing, truth, peace?	Green	Pink	White	Yellow	White
Religion-Faith	When you collect flowers or herbs for magical purposes you should have in mind the hour at which you gather them. What are the magical hours?	3, 6, 9 and 12	4, 6, 8 and 11	1, 7, 9 and 11	1, 4, 5 and 10	3, 6, 9 and 12
Religion-Faith	This ancient pagan ritual was practiced in Scotland until the end of the 19th century. It allows a couple to make a commitment to each other within their own spiritual path. This commitment lasts for one year and a day. After that the couple can go their own way or renew their bond.	Handfasting	Faerie	Anam cara	A prayer of passage	Handfasting
Religion-Faith	What is this spell used for?  Dear Father, tsar fire, be gentle and kind to me.  Burn away all my aches  pains, tears  worries.	Love	Happiness	Wealth	Faith	Happiness
Religion-Faith	Every Catholic can receive any of the seven sacraments, but no one can receive all seven.	False	True			False
Religion-Faith	What is the Catholic term describing a place of purification after bodily death, but before the soul enters heaven?	apocalypse	limbo	purgatory	apocrypha	purgatory
Religion-Faith	This part of the Catholic mass, in which the priest asks God to change the bread and wine into Jesus body and blood, is called what?	invocation	consecration	offertory	communion	consecration
Religion-Faith	The Hail Mary is a biblical prayer.	True	False			True
Religion-Faith	What was the church council that revised the prayers used in the Catholic mass and authorized masses to be said in the language of the local people?	Nicea	Vatican II	Vatican I	Trent	Vatican II
Religion-Faith	A schism in the Christian church culminated in two bishops excommunicating each other in 1054, resulting in what?	the division between Catholicism and Orthodoxy	the Protestant Reformation	the ecumenical movement	the Crusades	the division between Catholicism and Orthodoxy
Religion-Faith	There are ten holy days of obligation, days other than Sunday on which all the worlds Catholics are required to attend mass.	False	True			False
Religion-Faith	What is the Catholic term for a person who, after death, goes to heaven?	saint	cherub	seraph	angel	saint
Religion-Faith	What does the Catholic church teach about Mary, Jesus mother?	She was a virgin when Jesus was born, but not necessarily after.	Joseph divorced her quietly after Jesus was born.	She was a virgin when Jesus was conceived, but not necessarily after.	She was a virgin until her death.	She was a virgin until her death.
Religion-Faith	According to the Bibles description of the creation of the world, on what day of the week were the sun, moon, and stars formed?	Second	Third	Fifth	Fourth	Fourth
Religion-Faith	According to the Bible, Sarah and Abraham have a common relative by blood.	False	True			True
Religion-Faith	Who begged for the body of Jesus to give it a proper burial?	Joseph of Arimathaea	Peter	Mark	Matthew	Joseph of Arimathaea
Religion-Faith	What scripture of the King James Bible is most noted for the story of the birth of Jesus?	Luke, Chapter 1	Luke, Chapter 3	Luke, Chapter 2	Matthew, Chapter 2	Luke, Chapter 2
Religion-Faith	According to the biblical texts, whom do these words belong to: Thou shalt have no other gods before me!?	Moses	Aaron	Miriam	God	God
Religion-Faith	The first of the 10 commandments that also contains a promise was Honor thy Father and Mother.	True	False			True
Religion-Faith	Who was Ruths mother-in-law according to biblical texts?	Mara	Naomi	Orpah	Boaz	Naomi
Religion-Faith	According to the Bible, Ruth was the great grandmother of David.	False	True			True
Religion-Faith	Who wrote Epistle to the Romans, included in the New Testament canon of the Christian Bible?	Peter	Paul	Mark	Luke	Paul
Religion-Faith	According to Christian beliefs, what was the nature of the first sin man ever committed?	Greed	Murder	Disobedience	Blasphemy	Disobedience
Religion-Faith	According to the Bibles interpretation of Moses life, who ran along the bank to make sure that Moses was alright in his basket after he was set adrift on the Nile river?	His brother	His mother	His sister	His father	His sister
Religion-Faith	According to the Bible, did the Pharaoh’s wife find little Moses who was drifting along the Nile in a basket.	No	Yes			No
Religion-Faith	What does the name Moses mean according to the Biblical texts?	Found	Child of the river	Conceived by a Hebrew	Drawn out	Drawn out
Religion-Faith	What was the name of Mosess brother according to the Bible?	Clive	Aaron	Peter	John	Aaron
Religion-Faith	According to Exodus, what was the ninth plague that God inflicted on Egypt in order to convince Pharaoh to let the Israelite slaves leave?	Death of First Born Child	Lice	Darkness	Frogs	Darkness
Religion-Faith	Why did Moses have to flee out of Egypt and settle on the Sinai Peninsula according to the Bible?	He killed an Egyptian	He was banned for disrespectable behaviour towards the Pharaoh.	None of these	He killed the Pharaoh	He killed an Egyptian
Religion-Faith	According to the last chapters of Exodus, what was the Tabernacle, which was built after the Israelites passed safely the Red Sea with Gods help?	A vehicle with a prayer altar	A portable prayer altar	A portable place of worship	A portable irrigating system	A portable place of worship
Religion-Faith	Who is the second oldest living man according to the Bible?	Enoch	Mahalalel	Jared	Methuselah	Jared
Religion-Faith	What is the name of the only Archangel mentioned in the Bible?	Lucifer	Jesus	Michael	Gabriel	Michael
Religion-Faith	Who was emperor of Rome at the time of Jesus death?	Augustus	Tiberius	Caligula	Claudius	Tiberius
Religion-Faith	King Solomon had 300 wives and 700 concubines.	False	True			False
Religion-Faith	This tradition was founded in England in the 1960s by Alex Sanders, who referred to himself as the King of his Witches.	Strega	Gardnerian	Celtic	Alexandrian	Alexandrian
Religion-Faith	Caledonii tradition comes from this country.	France	Italy	England	Scotland	Scotland
Religion-Faith	This system is indigenous to South Central Pennsylvania, USA.	Strega	Satanic	Pow-Wow	Seax-Wica	Pow-Wow
Religion-Faith	This tradition was founded by Raymond Buckland in 1973.	Seax-Wica	Dianic	Teutonic	Hereditary	Seax-Wica
Religion-Faith	This tradtion is also know as the Nordic tradition.	Eclectic	British Traditional Witch	Pictish	Teutonic	Teutonic
Religion-Faith	The International Red Garters are an organization of British traditional witches.	False	True			True
Religion-Faith	If I practice the Craft by myself,  not as part of a coven, I am said to be this.	Strega	Solitary	Alexandrian	Pictish	Solitary
Religion-Faith	An eclectic witch strictly follows his or her chosen tradition.	True	False			False
Religion-Faith	Voodoo is actually a religion, which originated in Africa. Voodoo comes from the West African word vodun. What does vodun mean?	Revenge	Spirit	Doll	Death	Spirit
Religion-Faith	The structure of Voodoo, as we know it today, was developed after the Europeans started slavery. Where was Voodoo born?	Jamaica	Hawaii	Taiti	Haiti	Haiti
Religion-Faith	Voodoo rituals include animal sacrifice.	True	False			True
Religion-Faith	The French rulers persecuted Voodoo priests and practitioners. In 1791 a revolution exploded, which was led by the Voodoo priests. It ended in the year of Napoleons crowning.	1784	1804	1754	1854	1804
Religion-Faith	The high Voodoo priest and priestess are often called this.	Papa and Maman	Supreme Magicians	Son and Daughter of the Serpent	Dad and Mum	Papa and Maman
Religion-Faith	Voodoo Dancing is just a prelude to sexual frenzy.	True	False			False
Religion-Faith	In Voodoo, God is considered to be too distant for people to communicate with. Therefore, Voodoo priests communicate with God through Loa. What is Loa?	The spirits	The dolls	The drums	The demons	The spirits
Religion-Faith	Voodoo dolls are commonly used for voodoo.	False	True			False
Religion-Faith	Voodoos equivalent in Cuba is Santeria. Do you know which the equivalent of Voodoo in Brazil is?	Maabaa	Mooboo	Macumba	Mojo	Macumba
Religion-Faith	Nowadays Voodoo is no longer a religion.	True	False			False
Religion-Faith	How is New Year referred to in Judaism?	Tzom Gedalia	Rosh Hashannah	Yom KIppur	Shabbat	Rosh Hashannah
Religion-Faith	At Passover, Jews eat a special meal done in a special order.  What is that meal called?	A festavus for the rest of us	A seder	A Shidduch	A circumcision	A seder
Religion-Faith	What is the traditional Jewish prayer book called?	Siddur	Seder	The United Psalmistry	Shofar	Siddur
Religion-Faith	How many letters are in the hebrew alphabet?	24	22	25	20	22
Religion-Faith	How many vowels are in the Hebrew alphabet ?	8	0	5	6	0
Religion-Faith	We consider there to be three Patriarchs in Judaism. Who were they?	Moses, David, Abraham	Abraham, David, Moses	Abraham, Issac, Jacob	David, Joshua, Solomon	Abraham, Issac, Jacob
Religion-Faith	In Judaism, who was Joshuas father?	Abraham	Solomon	Nun	Moses	Nun
Religion-Faith	On the first day of which month do Jews celebrate New Year?	Cheshvan	Adar	Tishrei	Av	Tishrei
Religion-Faith	Which Hebrew phrase is most commonly associated with the English expression Good Luck and/or Congratulations?	Laych lGehinnom	Hayem Yankel	Oy Vey	Mazel Tov	Mazel Tov
Religion-Faith	Who was the Baal Shem Tov ?	The founder of the Bnai Brith	The first Premier of Israel	The founder of Chassidism	The first President of Israel	The founder of Chassidism
Religion-Faith	According to the second half of the Acts of the Apostles, what was Pauls name before God changed it?	Peter	Luke	Saul	John	Saul
Religion-Faith	The second chapter of the Gospel of Luke, Luke 2, tells us the story of Christs birth.	True	False			True
Religion-Faith	In the Old Testament, a man is said to have lived to be 969 years old.	False	True			True
Religion-Faith	There is a man in the Bible named Rehoboam who had 88 children.	False	True			True
Religion-Faith	There was an army mentioned in the Old Testament that consisted of men who were all left-handed and numbered 700.	False	True			True
Religion-Faith	Does the Bible ever speak of the sun moving backwards?	No	Yes			Yes
Religion-Faith	Which line gives the correct order of the first 5 books of the Old Testament?	Genesis, Leviticus, Numbers, Deuteronomy, Exodus	Genesis, Exodus, Numbers, Deuteronomy, Leviticus	Genesis, Exodus, Leviticus, Deuteronomy, Numbers	Genesis, Exodus, Leviticus, Numbers, Deuteronomy	Genesis, Exodus, Leviticus, Numbers, Deuteronomy
Religion-Faith	What tribe of Israel was Moses born into?	Reubon	Benjamin	Jacob	Levite	Levite
Religion-Faith	Eye of newt and toe of frog	The Tempest	Hamlet	A Midsummers Night Dream	Macbeth	Macbeth
Religion-Faith	She held me spellbound in the night	J Giles Band	The Eagles	The Zombies	Grateful Dead	The Eagles
Religion-Faith	Do you think God knew what He was doing when he created woman? Or do you think it was another one of his minor mistakes like tidal waves, earthquakes or FLOODS!, asked Daryl Van Horne in The Witches of Eastwick. What actor played Daryl Van Horne, just your average horny little devil?	Dennis Hopper	Harvey Keitel	Christopher Walken	Jack Nicholson	Jack Nicholson
Religion-Faith	Ding dong the witch is dead.	The Wicked Witch of the West	The Wicked Witch of the North	The Wicked Witch of the South	The Wicked Witch of the East	The Wicked Witch of the East
Religion-Faith	The movie An American Haunting was based on one of the most famous hauntings in American folklore. A Tennessee farmer shot at a strange animal with the body of a dog and the head of a rabbit.  What name was given to the entity that haunted the family and was said to have murdered the Tennessee farmer?	The Blair Witch	The White Witch	Mother Shipton	The Bell Witch	The Bell Witch
Religion-Faith	The works of this Jewish thinker formed the basis of the writings of Thomas Aquinas.	Rashi	Bal Shem Tov	Maimonides	Ibn Gabriol	Maimonides
Religion-Faith	What is prayer shawl worn by Jews in the morning Jewish services, during the Torah service, on Yom Kippur, and other holidays called?	A kippah	A mohel	A mezzuzah	A tallit	A tallit
Religion-Faith	Even when Jewish men are not reading Torah, they wear a garment with fringes with knots. It is worn under the shirt with the fringes exposed. What is this garment called ?	Yarmulka	Tephilin	Tallit katan	Kippah	Tallit katan
Religion-Faith	The night before Yom Kippur, called this,  is the most important night service in Judaism.	Rosh Hashannah	Musaff	Shabbat HaGadol	Kol Nidre	Kol Nidre
Religion-Faith	The most important prayer in Judaism is called the Shema. What does it affirm?	That we will not be moved	Our faith that there is one and only God.	That everyday problems will eventually solve if we have faith	We thank God for delivering us from at least some of our problems	Our faith that there is one and only God.
Religion-Faith	What is the first letter of the Hebrew alphabet?	Dalet	Gimmel	Bet	Aleph	Aleph
Religion-Faith	What do Jews do when the case which houses the Torah is opened?	Become quiet	Close eyes	Bow heads	Stand up	Stand up
Religion-Faith	On the Holy Day of Yom Kippur, Jews ask that all their sins be forgiven.	True	False			True
Religion-Faith	On which Holy Day do Jews feast on unleavened bread?	Rosh Hashannah	Channukah	Passover	Yom Kippur	Passover
Religion-Faith	There are two ways to pronounce Hebrew words. One is called Ashkanazi and the other one, this	Galut	Asian	Sawphateet	Sephardic	Sephardic
Religion-Faith	These fundamental statements have led to the formulation of the Buddhist philosophy, and contain the basic principles of the spiritual teacher, Buddha.	The Seven Articles of Faith	The Three Scrolls	The Ten Paths	The Four Noble Truths	The Four Noble Truths
Religion-Faith	What is the central theme of the teachings of religious teacher Buddha and of Buddhist philosophy as a whole?	Happiness	Achieving perfection	Achieving unity with nature	Suffering	Suffering
Religion-Faith	What was the birth name of the historic figure known as Buddha, the founder of the Buddhist religion?	Siddhartha Gautama	Jakili Saruputa	Elkini Baros	Malik Mohammed	Siddhartha Gautama
Religion-Faith	What is the formula to end or reduce suffering according to the principles of Buddhism?	The Ten Righteous Practices	Deep Meditation	The Noble Eightfold Path	The Six Cures	The Noble Eightfold Path
Religion-Faith	After completing his religious reawakening, Buddha considered himself to be which of these?	a man, who woke up to the nature of reality	a god	a prophet, sent by a supreme being to deliver the universal truth	pure spiritual energy	a man, who woke up to the nature of reality
Religion-Faith	The beginning of the Buddhist religion can be traced back to the fifth century BC in which country?	China	Thailand	India	Pakistan	India
Religion-Faith	What is the Japanese variation of Buddhism, that emphasizes on the role of sitting meditation in pursuing enlightenment?	Mahayana	Thervada	Zen	Tantric	Zen
Religion-Faith	What is the definition of Zen Koan, one of the important aspects of Buddhist religious practices?	A question, meant to challenge rational thinking	A clan of spiritual leaders in the Zen Buddhist religious community	A sitting pillow, used during mediation	An robe worn by Zen Buddhist monks	A question, meant to challenge rational thinking
Religion-Faith	Creating complex, radial, and symbolic sand paintings is a practice typical for which branch of Buddhism?	Theravadic Buddhism	Tibetan Buddhism	Nichiren Buddhism	Zen Buddhism	Tibetan Buddhism
Religion-Faith	Which of the following statements best describes the essence of Buddhism?	It is a means for people to save themselves.	It is the legacy of a prophet, sent to earth with a message of universal love.	It is a religion that seeks to attract and convert others.	It is a tradition aimed at spreading peace in the world.	It is a means for people to save themselves.
Religion-Faith	Son of a Jewish immigrant from Breslau, Prussia, Lucius Nathan Littauer was born in Gloversville, Upstate New York, in 1859. Being a politician wasnt his only occupation; what is Lucius Littauers other achievement with which he remained in history?	The first Jewish basketball coach in Oxford	The first professional Jewish baseball player	The first Jewish football coach at Harvard	The first Jewish professional football coach	The first Jewish football coach at Harvard
Religion-Faith	Julius Vogel, a London born Jew, who first became involved in politics in 1862, was the first Jew to be on this political post.	Prime Minister of Australia	Prime Minister of Canada	Prime Minister of New Zealand	Governor General of Canada	Prime Minister of New Zealand
Religion-Faith	During the 1968 presidential campaign, Rabbi Baruch Korff developed a personal relationship with this American president, who even referred to Korff as My Rabbi.	Gerald Ford	Lyndon Johnson	Richard Nixon	Jimmy Carter	Richard Nixon
Religion-Faith	In 1927 Charles A. Levine was the first Jew to do what?	Fly the Atlantic	Fly a USAF fighter	Get a degree in aerospace engineering	Build a monoplane	Fly the Atlantic
Religion-Faith	In what business did John M. Brunswick and his two half brothers, David and Emmanuel, make their fortune?	Entertaining industry	Aircraft industry	Billiard table business	Cell phone business	Billiard table business
Religion-Faith	The music for Somewhere Over the Rainbow, one of the most famous and beloved songs of the late 1930s, was based on a Jewish Cantorial theme.	True	False			True
Religion-Faith	Isachar Zacharie, an English born Jew, who was related to important American politicians, worked as what?	Lincolns podiatrist	Al Gores press secretary	The first Jewish Prime Minister	Washingtons lawyer in Virginia	Lincolns podiatrist
Religion-Faith	Why was Rabbi David Einhorn, a German rabbi and later leader of the Jewish reform movement in the United States, forced to leave Baltimore in 1861, during the Civil War?	He expressed too radical views	He insulted the Governor of Maryland,Thomas Hicks	He insulted the Mayor of Baltimore, George Williams	He preached against slavery	He preached against slavery
Religion-Faith	A famous and talented composer was almost bankrupt when he wrote one of his best-known works, Judas Maccabaeus - an oratorio based on a Jewish theme. Who was this classical composer?	Hayden	Handel	Chopin	Mozart	Handel
Religion-Faith	Marty Glickman and Sam Stoller were great 100-yard runners in the 1930s. They were to be on the 4x100 meter relay race team for the USA in the 1936 Olympics, but eventually did not take part in the race. What was the reason?	They were late to the field	They refused to run on Saturday (Shabbos)	They were caught using steroids	Hitler demanded their exclusion	Hitler demanded their exclusion
Religion-Faith	Bodhisattva is consciously seeking what?	Tranquility	Enlightenment	Thangka	Buddha	Enlightenment
Religion-Faith	What is Dharma?	The cosmic principles of existence	The Hindu Goddess of happiness	The extinction of desire and individual consciousness	Same as Adharma	The cosmic principles of existence
Religion-Faith	Buddhist believe that this depends on the actions that we have taken in the past.	Our Nirvana	Our happiness	Our births	Our Karma	Our births
Religion-Faith	In Buddhism the cycle of rebirths is known as what?	Bodhi	Dharma	Samsara	Thangka	Samsara
Religion-Faith	Which saint is known as the patron of children?	Anthony	Nicholas	Barbara	Martha	Nicholas
Religion-Faith	Who is known as the patron of India?	Francis Xavier	John the Divine	Giles	Catherine	Francis Xavier
Religion-Faith	St. Benedict is known as the patron of which of these groups of people?	Monks	Librarians	Musicians	Fishermen	Monks
Religion-Faith	Who was the first Italian-American woman to be canonized as a saint of the Catholic Church?	Mother Catherine	Dorothea of the Angels	Frances Cabrini	Agnes of God	Frances Cabrini
Religion-Faith	Which saint is referred to as the patron of fishermen?	Andrew the Apostle	Raphael the Archangel	Jerome	Sebastian	Andrew the Apostle
Religion-Faith	Which  saint is most often invoked for the recovery of a lost object?	Josephine	Rebecca	Anthony	Jude	Anthony
Religion-Faith	Who used to be the patron saint of travelers?	St. Michael	St. Christopher	St. Theresa	St. Andrew	St. Christopher
Religion-Faith	Which saint is the patron of all animals and living creatures?	Francsis of Asissi	Francis de Salles	Francis of Rome	Francis Xavier	Francsis of Asissi
Religion-Faith	Who is the patron saint of writers and librarians?	Jerome	Thomas Aquinas	Gregory	Edward the Confessor	Jerome
Religion-Faith	To which saint does one pray for healthy eyes?	St. Mary of Naples	St. Lucy, Virgin	St. Frances of the Holy Redeemer	St. Anne	St. Lucy, Virgin
Religion-Faith	What is the Hindu Trinity?	Shiva, Brahma, Krishna	Shiva, Lakshmi, Ganesh	Vishnu, Brahma, Shiva	Buddha, Brahma, Ganesh	Vishnu, Brahma, Shiva
Religion-Faith	Hinduism is a monotheistic religion.	True	False			False
Religion-Faith	What is the most sacred river for Hindus?	Jamuna	Gange	Siddharta	Goa	Gange
Religion-Faith	How many women-followers did the Hindu deity Lord Krishna have?	108	2	1	167	108
Religion-Faith	What are the main characters of the ancient Sanskrit epic Ramayana?	Brahma and Vishnu	Rama and Krishna	Rama and Sita	Krishna and Shiva	Rama and Sita
Religion-Faith	Who is the founder of the International Society for Krishna Consciousness, known as the Hare Krishna?	Prabhupada	George Harrison	Sai Baba	Dalai Lama	Prabhupada
Religion-Faith	Lord Ganesh, one of the most worshipped divinities in Hinduism, has the head of what animal?	cobra	lion	bear	elephant	elephant
