Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
People	Before becoming an important political figure, this George was a businessman, involved with the oil industry and then with professional sports.	George Washington	George W Bush	George Orwell	George Eliot	George W Bush
People	This George is one of the greatest English novelists. The term Big Brother comes from his book 1984.	George Eliot	George Sand	George Bernard Shaw	George Orwell	George Orwell
People	This George was the first president of the USA. Although the American capital city was named after him, he never lived there.	George Orwell	George Washington	George Lucas	George Bush	George Washington
People	This George was actually a woman and her real name was Mary Ann Evans. She used a male pen name because she wanted the publishers to take her works seriously.	George Sand	George Bernard Shaw	George Orwell	George Eliot	George Eliot
People	This George received the Nobel Prize in literature in 1925 but he didnt take the prize money. Instead, he gave the money for funding the translation of Swedish literature into English.	George Bernard Shaw	George Sand	George Fox	George Orwell	George Bernard Shaw
People	In 1997 this George was voted Sexiest Man Alive by People magazine. His first TV role was in the TV series E/R.	George Fox	George Clooney	George Lucas	George Herbert	George Clooney
People	This George lived for only 40 years - from 1593 until 1633. Nevertheless, he became a great poet. However, none of his works was published while he was alive.	George Gordon Byron	George Herbert	George Fox	George Eliot	George Herbert
People	His most famous works were Childe Harolds Pilgrimage and Don Juan. His fame rests not only on his romantic poems; he was known for his lifestyle, which included extravagant living, debts, separation, claims of incest, etc.	George Eliot	George Gordon Byron	George Lucas	George Sand	George Gordon Byron
People	This George was also a woman. Her real name was Amandine-Aurore-Lucile Dupin. She was a feminist before the invention of the word. She had a romantic relationship with Chopin.	George Herbert	George Sand	George Eliot	George Fox	George Sand
People	This George is the director of one of the most famous movie sagas. However the script for this saga was initially turned down by every major Hollywood studio because no one would want to see it.	George Orwell	George Clooney	George Michael	George Lucas	George Lucas
People	This John was a writer. He received the Nobel price for literature in 1962 for his �realistic and imaginative writing, combining as it does sympathetic humour and keen social perception.�	John Tolkien	John Steinbeck	John Wayne	John Milton	John Steinbeck
People	This famous English poet is the author of Paradise Lost. The long hours of writing under the light of a candle cost him his eyesight. He then started using a scribe.	John Tolkien	John Milton	John Denver	John Steinbeck	John Milton
People	This John was a member of one of the most popular bands from the 60s.  Earlier, he has formed his own band called The Quarrymen.	John Lennon	John Major	John Secada	John Bon Jovi	John Lennon
People	This John majored in philology, which triggered his interest in linguistics. This enabled him to invent 15 artificial languages. Two of them are most popular: Quenya and Sindarin, the two Elvish languages in The Lord of the Rings.	John Steinbeck	John Donne	John Tolkien	John Milton	John Tolkien
People	This John is the one who said Ask not what your country can do for you, ask what you can do for your country.	John Doe	John Smith	John Major	John Kennedy	John Kennedy
People	This John was one of the greatest English poets in the 17th century. He belonged to the group of the so-called metaphysical poets. It was his meditations that gave Hemingway the idea about the title of For Whom the Bell Tolls.	John Secada	John Tolkien	John Donne	John Milton	John Donne
People	Besides being an actor, this Pulp Fiction John is a certified pilot and owns a couple of planes.	John Goodman	John Travolta	John Wayne	John Smith	John Travolta
People	The real name of this John was Marion Robert Morrison. When his brother was born, the name Robert was given to him and the former became Marion Michael Morrison. Then he got the nickname Duke. Most sources state that his first movie was Words and Music (1929).	John Wayne	John Goodman	John Bon Jovi	John Travolta	John Wayne
People	This man is also known as Karol Wojtyla and Juan Pablo II. His reign as a Pope was the third-longest in the history of the Papacy. He named himself after his predecessor, who died suddenly after only 33 days of service to God.	John Donne	John Paul II	John Major	John Paul I	John Paul II
People	This seafarer John was captured by the Indians around 1600. He reported in his account that the Indian chief wanted to club him to death. He was saved by the 11-12 year old daughter of the chief, who stood between her father and the Englishman.	John Bravo	John Mcenroe	John Smith	John Brown	John Smith
People	This great Spanish explorer conquered what is now central and southern Mexico.	Christopher Columbus	Vasco Da Gama	Ferdinand Magellan	Hernando Cortes	Hernando Cortes
People	This mans voyages were the base for Frances claim to Canada. His initial intention was to search for the Northwest Passage to the Orient.	Marco Polo	Francis Drake	Samuel de Champlain	Jacques Cartier	Jacques Cartier
People	He is famous for sailing around the world twice. He became the first European to visit the coasts of Hawaii and Australia. Due to his voyages  some colonies were established throughout the Pacific region by several European nations.	John Franklin	Martin Frobisher	Henry Hudson	James Cook	James Cook
People	This great explorer is famous for his fulfilment of the first all water trade route between India and Europe .	Vasco da Gama	Gaspar Corte Real	Henry the Navigator	Marco Polo	Vasco da Gama
People	Along with his brother, this famous explorer reached Kaifeng, the capital of Kublai Khans Mongol Empire in 1265.	Gaspar Corte Real	Hernando Cortes	Marco Polo	Ferdinand Magellan	Marco Polo
People	This great explorer found a new continent thinking he had found a new way to India.	Hernando Cortes	Henry the Navigator	Christopher Columbus	Gaspar Corte Real	Christopher Columbus
People	This great explorer spent years searching for a seaway to China in order to trade Spains New World gold, thus contributing with information about America before its Indian cities were destroyed by foreign diseases.	John Franklin	Samuel de Champlain	John Nicolas	Hernando de Soto	Hernando de Soto
People	By his circumnavigation around the world, which took three years, from 1577 to 1580, this explorer gave a more accurate picture of the true geography of the world.	Sir Francis Drake	Christopher Columbus	Ferdinand Magellan	Horatio Nelson	Sir Francis Drake
People	He was the first man to explore Antarctica by land. He led two expeditions with the intention to find out more about the animals, weather and geology of the Antarctic.	Captain James Cook	Ferdinand Magellan	Captain Scott	Sebastian Cabot	Captain Scott
People	Famous for his sea explorations, this man helped develop the first self-contained underwater breathing apparatus (SCUBA).	Neil Armstrong	Ernest Shackleton	David Livingstone	Jacques Cousteau	Jacques Cousteau
People	People who do this job are responsible for making 3-D films look so real.  They create the hairstyles of the animated characters.	Computer Hair Stylist	Animation Hair Consultant	Hair Simulation Supervisors	Hair Care Animator	Hair Simulation Supervisors
People	What does a Wrinkle Chaser do?	Irons wrinkles from shoes	Chase wrinkles from your face	Studies the wrinkles on someones face	Performs plastic surgeries	Irons wrinkles from shoes
People	As a Banana Gasser, what gas would you use to catalyze the ripening of bananas?	Ethylene	Methyl	Helium	Saline	Ethylene
People	Are your taste buds working over time?  If so, this job might be perfect for you. John Harrison is doing this job for the Dreyers.	Candy Licker	Drugs Tester	Ice Cream Taster	Fruit Tester	Ice Cream Taster
People	Have you ever noticed that not all onions are created equal? Some are bigger, some smaller, some differ in color and this person has to sort them.	Onion Graders	Onion Janitors	Grocers	Onion Cleaners	Onion Graders
People	What does a Golf Ball Marshal do?	They carry golf sticks	They search for lost golf balls	They win golf championships	They are retired golf players	They search for lost golf balls
People	These guys provide the primary ingredient for life-saving serums to people who have been bitten by poisonous snakes.	Snake Doctors	Zoo Keepers	Snake Milkers	Snake Taxidermist	Snake Milkers
People	A Vermiculturist uses this animal to produce compost?	Worms	Flies	Ticks	Bacteria	Worms
People	Who made this popular statement in July 1969: Thats one small step for (a) man, one giant leap for mankind.?	John McKay	Neil Armstrong	Buzz Aldren	John Glenn	Neil Armstrong
People	Which US President said: I am not a crook.?	Abraham Lincoln	John F Kennedy	John Glenn	Richard Nixon	Richard Nixon
People	Ask not what your country can do for you, ask what you can do for your country. These words were delivered by which US President?	John F. Kennedy	George Washington	Richard Nixon	Abraham Lincoln	John F. Kennedy
People	Which famous boxer said that he would float like a butterfly and sting like a bee.?	Muhammad Ali	Leon Spinks	Sugar Ray Leonard	Mike Tyson	Muhammad Ali
People	Which scientist is credited with the following quote: I never think of the future - it comes soon enough.?	Sir Issac Newton	Albert Einstein	Jack Parr	Thomas Edison	Albert Einstein
People	Which famous politician said: We must all hang together, or, most assuredly, we shall all hang separately.?	Thomas Jefferson	Theodore Roosevelt	John Hancock	Benjamin Franklin	Benjamin Franklin
People	Who made a speech, known by the popular name I Have a Dream?	Willie Ricks	Roy Wilkins	Martin Luther King Jr	James Farmer	Martin Luther King Jr
People	What famous person delivered these words: I have nothing new to teach the world. Truth and non-violence are as old as the hills.?	John Hancock	Abraham Lincoln	Mahatma Gandhi	Mother Teresa	Mahatma Gandhi
People	Which fashion designer made this statement: Fashion passes, style remains.?	Paco Rabanne	Coco Chanel	Ralph Lauren	Donatella Versace	Coco Chanel
People	Which US President said the following words: Four score and seven years ago our fathers brought forth on this continent a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.?	Thomas Jefferson	George Washington	Richard Nixon	Abraham Lincoln	Abraham Lincoln
People	Who is credited with delivering the following words: 100% of the shots you dont take dont go in.?	Larry Bird	Mike Tyson	Michael Jordan	Wayne Gretzky	Wayne Gretzky
People	These words belong to which famous writer: Always do right. This will gratify some people and astonish the rest.?	Benjamin Franklin	Charles Schultz	Mark Twain	Dr Seuss	Mark Twain
People	One of the following terrorist leaders can be described as a tall and thin man with an olive complexion and a cane, who is left-handed and always wears a plain white turban.	Abdullah Sungkar	Osama bin Laden	Tohir Yuldashev	Abu Musab al-Zarqawi	Osama bin Laden
People	The Roman emperor, Tiberius, was a left-handed ruler, who belonged to what dynasty?	Julio-Claudian dynasty	Severan dynasty	Valentinian dynasty	Flavian dynasty	Julio-Claudian dynasty
People	Raphael was a left-handed painter and architect of the Florentine school in the Italian High Renaissance. One of these works does not belong to him.	Woman with a veil (La Donna Velata)	The Marriage of the Virgin	The School of Athens	The Night Watch	The Night Watch
People	Ronald Reagan was a left-handed President.	False	True			False
People	The lefty, Henry Ford, founded the Ford Motor Company. Finish this quote and find out how he defined quality. 	...everyone is looking.	...no one is looking.	...you are told to.	...you want to.	...no one is looking.
People	Both rappers, 50 Cent and Eminem, are left-handed.	True	False			True
People	Which of these rulers / politicians was not left-handed?	Benjamin Franklin	Julius Caesar	Bill Clinton	They were all left-handed	They were all left-handed
People	During her trial, Joan of Arc was accused of being left-handed.	True	False			False
People	Nelson Rockefeller, the left-handed 41st Vice President of the United States of America, was a governor of this state before becoming Vice President.	Pennsylvania	Massachusetts	Connecticut	New York	New York
People	Jay Leno is a left-handed American comedian, who suffers from what disease?	Diabetes	Dyslexia	Mild deafness	Epilepsy	Dyslexia
People	The left-handed actor, Jim Carrey, played what character in the 2004 Hollywood production, Eternal Sunshine of the Spotless Mind?	Frank	Stan	Patrick	Joel	Joel
People	This is the last movie in which the lefty, Charlie Chaplin appeared.	The Great Dictator	Limelight	Modern Times	A Countess from Hong Kong	A Countess from Hong Kong
People	The left-handed Hollywood actor, Morgan Freeman, was born in which city?	Memphis	Nashville	Pittsburgh	Philadelphia	Memphis
People	After achieving success with his horror stories, this writer called himself Richard Bachman because he wanted to see if his novels would sell without his already famous name on them.	D.B. Wyndham-Lewis	Stephen King	Bruce Frederick Cummings	John Bingham Morton	Stephen King
People	Lewis Carroll conceived Alices Adventures in Wonderland as nursery tales for the daughter of a friend.	Charles Lutwidge Dodgson	Eugène Grindel	D.B. Wyndham-Lewis	Sue Denim	Charles Lutwidge Dodgson
People	Paul Eluard was a major exponent of surrealism.  Many of his poems reflect the hardship after his separation with his first wife Gala, who left him for Salvador Dali.	Jacques Anatole François Thibault	Lucy Beatrice Malleson	Harry Hart Frank	Eugène Grindel	Eugène Grindel
People	Besides a poet, Pablo Neruda was also a diplomat and a Communist leader.  He changed his original name because he didnt want his father to find out he was a poet.	Hector Hugh Munro	Louis Cha	Ricardo Eliecer Neftalí Reyes Basoalto	Eric Arthur Blair	Ricardo Eliecer Neftalí Reyes Basoalto
People	Anatole France was probably the most famous French man of letters of his time.  In 1921 he was awarded the Nobel Prize in Literature.	Jacques Anatole Thibault	Charles Lutwidge Dodgson	William Sidney Porter	John Dickson Carr	Jacques Anatole Thibault
People	Stendhal hated his father so he took the first opportunity to leave for Paris, where he became a lieutenant in Napoleon’s army.  He began his literary career after the fall of Napoleon in 1814.	Marie Henri Beyle	Paul M. A. Linebarger	Dan Perkins	Johann Kaspar Schmidt	Marie Henri Beyle
People	Moliere became famous as the father of French high comedy. He coined the phrase castigat ridendo mores (to criticise customs through humour) which is sometimes mistaken for a genuine Latin proverb.	Jean Baptiste Poquelin	Georges Remi	James Oliver Rigney, Jr.	Gérard Labrunie	Jean Baptiste Poquelin
People	Saki was a master of short stories.  It is said that his pen name could be a reference to a monkey with the same name.	Hector Hugh Munro	Frederic Dannay	Theodore Seuss Geisel	Natsume Kinnosuke	Hector Hugh Munro
People	O. Henry was working as a bank teller when he was sent to jail for embezzlement.  He spent 3 years in jail where he started writing his short stories.	Georges Remi	William Sydney Porter	Harry Hart Frank	Stanley Martin Lieber	William Sydney Porter
People	Both in the year when Mark Twain was born and the year when he died, the Halleys Comet passed by Earth.	Johann Kaspar Schmidt	Samuel Langhorne Clemens	Don Novello	Charles Farrar Browne	Samuel Langhorne Clemens
People	This Roman dictator proclaimed himself a god and built statues and temples to himself in Rome. He even ordered his statue to be placed in Jerusalem, so Jews can worship him.	Caligula	Caesar	Claudius	Cassius Chaerea	Caligula
People	This Russian dictator was given the name Grozniy by his compatriots as he was an evil person. The number of his marriages is unknown, but it is stated that they are at least five. He killed his son in a fit of rage.	Ivan The Terrible	Alexander	Ivan V	Peter I	Ivan The Terrible
People	He was known for his terrorist tactics and cruel methods of punishing those he found guilty, especially by impalement, which gave him the nickname Tepes, or The Impaler.	Todor Jivkov	Vlad Dracula	Joseph Stalin	Nicolae Ceaucescu	Vlad Dracula
People	This Russian dictator established the USSR as a modern economic and military power, able to repel Hitlers armies in World War II. However his reign was marked by terror and the deaths of millions of real and presumed opponents of his policies.	Gorbachev	Yeltsin	J. V. Stalin	Lenin	J. V. Stalin
People	He directed the systematic extermination of over 11 million people, mostly Jews, in a genocide now known as the Holocaust.	Nikita Khrushchev	Napoleon	Stalin	Hitler	Hitler
People	This person was expelled from the Socialist party on the grounds that he advocated Italys involvement in the Great War.  Following the war, he organized the Italian Fascist Party.	Benito Mussolini	Nicolae Ceaucescu	George Papadopulos	Augusto Pinochet	Benito Mussolini
People	Under the rule of this fascist dictator all political parties and labor unions were banned. Books were  burned, and dissenters were tortured and executed.	Francisco Franco	Antonio De Oliveira Salazar	Benito Mussolini	Turgut Ozal	Francisco Franco
People	He claimed that Democracy is the breeding ground of Communism.  That is why he ended Chiles 150-years of democracy.	Alfredo Stroessner	Augusto Pinochet	Joseph Stalin	Francisco Franco	Augusto Pinochet
People	This Romanian leaders economic policies were a disaster. He was also repressive and corrupt. He and his wife Elena were executed in 1989.	Alfredo Stroessner	Jorge Rafael Videla	Nicolae Ceausescu	Hugo Banzer	Nicolae Ceausescu
People	The name of this Iraqi dictator means one who confronts.  He saw himself as a social revolutionary and a modernizer, following the model of Nasser.	Saddam Hussein	Hassanal Bolkiah	Ferdinand Marcos	Sitiveni Rabuka	Saddam Hussein
People	The Mafia was actually formed in Sicily in the Middle Ages as a secret society to resist the Turk and Norman invaders. Later, it spread to the United States and this was the first American city where it became influential.	Detroit	New York	San Francisco	Chicago	New York
People	There are many theories about the source and the translation of the word Mafia. However, the meaning of the name of the Italian Mafia, La Cosa Nostra, is not so controversial. Which of these translations is closest?	Nothing Tangible	Our Thing	Their Thing	No ones Thing	Our Thing
People	The Triads is the name of the Japanese Mafia.	False	True			False
People	Lucky Luciano was one of the most important bosses of the Mafia, because he literally created its structure as we know it today. This guy was his most loyal friend since childhood.	Carlo Gambino	Meyer Lansky	Vito Genovese	Frank Costello	Meyer Lansky
People	Al Capone was the Crime Boss in Chicago as the successor of Johnny Torrio. Although he committed many terrible crimes and violated many laws, he was convicted only of tax evasion and had to do 11 years in Alcatraz. He was released in 1939 due to his terrible disease. What was this disease?	AIDS	Cancer	Leprosy	Syphilis	Syphilis
People	If you are a member of Yakuza and disobey your boss, you have to cut one of your fingertips and send it to him, begging for forgiveness.	True	False			True
People	In the Italian-American Mafia, the hierarchy is very strict. Capo di Tutti Capi means Boss of all Bosses. This is the highest possible position in the chain of command. Then who is Capo Crimini?	A non-Italian member of the Mafia	The Underboss of the Don	The Don of a crime family	The Advisor of the Don	The Don of a crime family
People	There were five dominant families in the American Mafia.  The Bonanno family, the Colombo Family, the Gambino family, the Lucchese family and one more. Charles (Lucky) Luchiano was one of the Bosses of this powerful Mafia family.	The Capone Family	The Luchiano Family	The Genovese Family	The Lucky Family	The Genovese Family
People	The execution of a member of the American Mafia is called Omerta.	True	False			False
People	This is one of the most famous crime fighters in the history of the American Mafia. He prosecuted many gangsters, such as Lucky Luciano, Gurrah Shapiro and Louis Lepke. The mafioso Dutch Shultz was killed by his peers, because he planned to knock off this gang buster.	Herbert Hoover	Robert Taft	Thomas Dewey	Chief Hennessy	Thomas Dewey
People	Which U.S. President, nicknamed Old Hickory, was the target of an assassination attempt at the Capitol building in 1835 by a house painter named Richard Lawrence?	Martin Van Buren	William Henry Harrison	Andrew Jackson	John Quincy Adams	Andrew Jackson
People	Which U.S. President, the first in the nations history to be assassinated, died at Peterson House across the street from the site of his shooting?	Abraham Lincoln	William McKinley	Andrew Jackson	James A. Garfield	Abraham Lincoln
People	Which U.S. President, whose term was the second shortest in the nations history, died in 1881, two and a half months after he was shot at a train station in Washington, D.C.?	James A. Garfield	Ulysses S. Grant	Chester A. Arthur	Rutherford B. Hayes	James A. Garfield
People	Which U.S. President, shot at the Pan-American Exposition in Buffalo, New York, might have survived if doctors had used a new medical device on exhibit at the fair that could have helped them find the fatal bullet?	Grover Cleveland	William McKinley	Theodore Roosevelt	Benjamin Harrison	William McKinley
People	Which U.S. President, who had become President after the 1901 assassination of his predecessor, survived an assassination attempt more than three years after he left office?	Theodore Roosevelt	William McKinley	Woodrow Wilson	William H. Taft	Theodore Roosevelt
People	Which four-term Presidents motorcade was shot at a month before he first took office, resulting in the death of the mayor of Chicago?	Harry S. Truman	Franklin D. Roosevelt	Ronald W. Reagan	Dwight D. Eisenhower	Franklin D. Roosevelt
People	Which President, who resided in Blair House during renovations to the White House, commuted the death sentence of the man convicted of plotting to assassinate him?	Harry S. Truman	Martin Van Buren	John Adams	Abraham Lincoln	Harry S. Truman
People	Which U.S. President, the first Massachusetts native to hold the office in more than 130 years, was targeted by a would-be suicide attacker before his inauguration?	Dwight D. Eisenhower	George H.W. Bush	Calvin Coolidge	John F. Kennedy	John F. Kennedy
People	Which controversial President was the target of an assassination plot that involved hijacking a commercial airliner and crashing it into the White House?	George W. Bush	Harry S. Truman	William J. Clinton	Richard M. Nixon	Richard M. Nixon
People	Which President, never elected to the office, was the target of two assassination attempts within three weeks of each other, both by women?	Herbert Hoover	Lyndon B. Johnson	Theodore Roosevelt	Gerald R. Ford	Gerald R. Ford
People	Which U.S. President, during whose adminstration a U.S. Embassy in the middle east was seized, was supposedly targeted by Mexican assassins in an attack that never took place?	William J. Clinton	Jimmy Carter	Gerald R. Ford	Ronald W. Reagan	Jimmy Carter
People	Which U.S. President, shot by a man who wanted to impress a film actress, was not the original target of the assassination plan?	Ronald W. Reagan	John F. Kennedy	Franklin D. Roosevelt	Gerald R. Ford	Ronald W. Reagan
